epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,225.876,0.29158,0.20636,0.85651,0.99792,1,0.995,0.94785,0.36258,0.18956,0.84287,0.000187092,0.000187092,0.000187092
86,228.368,0.26695,0.19489,0.84307,0.99774,1,0.995,0.9445,0.37212,0.19054,0.84847,0.000176094,0.000176094,0.000176094
87,230.953,0.26541,0.19659,0.83824,0.99696,1,0.995,0.94595,0.36132,0.18861,0.8449,0.000165095,0.000165095,0.000165095
88,233.52,0.27194,0.19642,0.84255,0.9977,1,0.995,0.94384,0.36437,0.19014,0.8481,0.000154096,0.000154096,0.000154096
89,236.304,0.25868,0.19059,0.83437,0.99702,1,0.995,0.94382,0.35826,0.19408,0.84411,0.000143097,0.000143097,0.000143097
90,239.183,0.24582,0.18697,0.83338,0.9972,1,0.995,0.94661,0.35239,0.18297,0.84174,0.000132098,0.000132098,0.000132098
91,268.268,0.26585,0.20232,0.82352,0.99759,1,0.995,0.93997,0.36251,0.18418,0.84585,0.000121099,0.000121099,0.000121099
92,270.918,0.2526,0.19427,0.81554,0.99727,1,0.995,0.93914,0.36746,0.18513,0.84776,0.0001101,0.0001101,0.0001101
93,273.616,0.25381,0.19578,0.82315,0.9965,1,0.995,0.93728,0.36992,0.18267,0.85152,9.91012e-05,9.91012e-05,9.91012e-05
94,276.335,0.23828,0.18214,0.81039,0.9967,1,0.995,0.94141,0.36965,0.18446,0.85391,8.81023e-05,8.81023e-05,8.81023e-05
95,278.947,0.2337,0.17674,0.81668,0.99664,1,0.995,0.94646,0.35978,0.18399,0.8487,7.71034e-05,7.71034e-05,7.71034e-05
96,281.455,0.23319,0.17919,0.80534,0.99638,1,0.995,0.94229,0.35983,0.18665,0.84972,6.61045e-05,6.61045e-05,6.61045e-05
97,284.26,0.22267,0.17248,0.80761,0.99649,1,0.995,0.94246,0.36703,0.19096,0.85297,5.51056e-05,5.51056e-05,5.51056e-05
98,286.897,0.2137,0.16485,0.78758,0.99644,1,0.995,0.94336,0.36716,0.18835,0.85152,4.41067e-05,4.41067e-05,4.41067e-05
99,289.51,0.21261,0.17107,0.79947,0.99654,1,0.995,0.94045,0.36746,0.18371,0.85198,3.31078e-05,3.31078e-05,3.31078e-05
100,292.005,0.21856,0.17433,0.81269,0.99641,1,0.995,0.94386,0.36609,0.1822,0.85104,2.21089e-05,2.21089e-05,2.21089e-05
